STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
ALCO,NasdaqGS:ALCO,"Alico, Inc.",Agricultural Products and Services
VRA,NasdaqGS:VRA,"Vera Bradley, Inc.","Apparel, Accessories and Luxury Goods"
SMLR,NasdaqCM:SMLR,"Semler Scientific, Inc.",Health Care Equipment
WNEB,NasdaqGS:WNEB,"Western New England Bancorp, Inc.",Regional Banks
PDLB,NasdaqGM:PDLB,"Ponce Financial Group, Inc.",Regional Banks
BBBY,NasdaqGS:BBBY,Bed Bath & Beyond Inc.,Homefurnishing Retail
AOMR,NYSE:AOMR,"Angel Oak Mortgage REIT, Inc.",Mortgage REITs
OVID,NasdaqGS:OVID,Ovid Therapeutics Inc.,Biotechnology
EVBN,NYSEAM:EVBN,"Evans Bancorp, Inc.",Regional Banks
LMB,NasdaqCM:LMB,"Limbach Holdings, Inc.",Construction and Engineering
HRTX,NasdaqCM:HRTX,"Heron Therapeutics, Inc.",Biotechnology
BIRD,NasdaqGS:BIRD,"Allbirds, Inc.",Footwear
CBAN,NasdaqGM:CBAN,"Colony Bankcorp, Inc.",Regional Banks
CFFI,NasdaqGS:CFFI,C&F Financial Corporation,Regional Banks
PEBK,NasdaqGM:PEBK,"Peoples Bancorp of North Carolina, Inc.",Regional Banks
LINC,NasdaqGS:LINC,Lincoln Educational Services Corporation,Education Services
TLS,NasdaqGM:TLS,Telos Corporation,Systems Software
GLSI,NasdaqCM:GLSI,"Greenwich LifeSciences, Inc.",Biotechnology
HBIO,NasdaqGM:HBIO,"Harvard Bioscience, Inc.",Life Sciences Tools and Services
AADI,NasdaqCM:AADI,"Aadi Bioscience, Inc.",Biotechnology
DHX,NYSE:DHX,"DHI Group, Inc.",Interactive Media and Services
FULC,NasdaqGM:FULC,"Fulcrum Therapeutics, Inc.",Pharmaceuticals
EGIO,NasdaqGS:EGIO,"Edgio, Inc.",Internet Services and Infrastructure
MACK,NasdaqGM:MACK,"Merrimack Pharmaceuticals, Inc.",Biotechnology
ELA,NYSEAM:ELA,Envela Corporation,Other Specialty Retail
WULF,NasdaqCM:WULF,TeraWulf Inc.,Application Software
SAMG,NasdaqGM:SAMG,Silvercrest Asset Management Group Inc.,Asset Management and Custody Banks
NKTX,NasdaqGS:NKTX,"Nkarta, Inc.",Biotechnology
TCS,NYSE:TCS,"The Container Store Group, Inc.",Other Specialty Retail
MFIN,NasdaqGS:MFIN,Medallion Financial Corp.,Consumer Finance
CATO,NYSE:CATO,The Cato Corporation,Apparel Retail
CTXR,NasdaqCM:CTXR,"Citius Pharmaceuticals, Inc.",Pharmaceuticals
MNSB,NasdaqCM:MNSB,"MainStreet Bancshares, Inc.",Regional Banks
AXTI,NasdaqGS:AXTI,"AXT, Inc.",Semiconductor Materials and Equipment
RCKY,NasdaqGS:RCKY,"Rocky Brands, Inc.",Footwear
TBNK,NasdaqGS:TBNK,Territorial Bancorp Inc.,Regional Banks
JAKK,NasdaqGS:JAKK,"JAKKS Pacific, Inc.",Leisure Products
HNST,NasdaqGS:HNST,"The Honest Company, Inc.",Personal Care Products
FGBI,NasdaqGM:FGBI,"First Guaranty Bancshares, Inc.",Regional Banks
LMST,NasdaqCM:LMST,"Limestone Bancorp, Inc.",Regional Banks
ABOS,NasdaqGS:ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology
SRT,NYSE:SRT,"Startek, Inc.",Data Processing and Outsourced Services
HEAR,NasdaqGM:HEAR,Turtle Beach Corporation,"Technology Hardware, Storage and Peripherals"
THRD,NasdaqGM:THRD,"Third Harmonic Bio, Inc.",Pharmaceuticals
BGFV,NasdaqGS:BGFV,Big 5 Sporting Goods Corporation,Other Specialty Retail
BYRN,NasdaqCM:BYRN,Byrna Technologies Inc.,Aerospace and Defense
SOND,NasdaqGS:SOND,Sonder Holdings Inc.,"Hotels, Resorts and Cruise Lines"
XXII,NasdaqCM:XXII,"22nd Century Group, Inc.",Tobacco
FOSL,NasdaqGS:FOSL,"Fossil Group, Inc.","Apparel, Accessories and Luxury Goods"
HURC,NasdaqGS:HURC,"Hurco Companies, Inc.",Industrial Machinery and Supplies and Components
STRS,NasdaqGS:STRS,Stratus Properties Inc.,Real Estate Development
PWOD,NasdaqGS:PWOD,"Penns Woods Bancorp, Inc.",Regional Banks
PNRG,NasdaqCM:PNRG,PrimeEnergy Resources Corporation,Oil and Gas Exploration and Production
CALB,NasdaqGS:CALB,California BanCorp,Regional Banks
GHL,NYSE:GHL,"Greenhill & Co., Inc.",Investment Banking and Brokerage
FSP,NYSEAM:FSP,Franklin Street Properties Corp.,Office REITs
FCUV,NasdaqGM:FCUV,Focus Universal Inc.,Electronic Equipment and Instruments
INFU,NYSEAM:INFU,"InfuSystem Holdings, Inc.",Health Care Services
ABSI,NasdaqGS:ABSI,Absci Corporation,Biotechnology
BEEM,NasdaqCM:BEEM,Beam Global,Electrical Components and Equipment
BSET,NasdaqGS:BSET,"Bassett Furniture Industries, Incorporated",Home Furnishings
LTRX,NasdaqCM:LTRX,"Lantronix, Inc.",Communications Equipment
RIDE,NasdaqGS:RIDE,Lordstown Motors Corp.,Automobile Manufacturers
HWBK,NasdaqGS:HWBK,"Hawthorn Bancshares, Inc.",Regional Banks
DLHC,NasdaqCM:DLHC,DLH Holdings Corp.,Human Resource and Employment Services
UP,NYSE:UP,Wheels Up Experience Inc.,Passenger Airlines
PESI,NasdaqCM:PESI,"Perma-Fix Environmental Services, Inc.",Environmental and Facilities Services
DIBS,NasdaqGM:DIBS,"1stdibs.Com, Inc.",Broadline Retail
ATOM,NasdaqCM:ATOM,Atomera Incorporated,Semiconductor Materials and Equipment
CTRN,NasdaqGS:CTRN,"Citi Trends, Inc.",Apparel Retail
LAB,NasdaqGS:LAB,Standard BioTools Inc.,Life Sciences Tools and Services
CUE,NasdaqCM:CUE,"Cue Biopharma, Inc.",Biotechnology
CCCC,NasdaqGS:CCCC,"C4 Therapeutics, Inc.",Biotechnology
SACH,NYSEAM:SACH,Sachem Capital Corp.,Mortgage REITs
ESSA,NasdaqGS:ESSA,"ESSA Bancorp, Inc.",Regional Banks
STXS,NYSEAM:STXS,"Stereotaxis, Inc.",Health Care Equipment
AJX,NYSE:AJX,Great Ajax Corp.,Mortgage REITs
FCCO,NasdaqCM:FCCO,First Community Corporation,Regional Banks
CMT,NYSEAM:CMT,"Core Molding Technologies, Inc.",Commodity Chemicals
BODY,NYSE:BODY,"The Beachbody Company, Inc.",Specialized Consumer Services
RPHM,NasdaqGM:RPHM,"Reneo Pharmaceuticals, Inc.",Biotechnology
AGIL,NasdaqCM:AGIL,"AgileThought, Inc.",IT Consulting and Other Services
INBK,NasdaqGS:INBK,First Internet Bancorp,Regional Banks
WMPN,NasdaqCM:WMPN,William Penn Bancorporation,Regional Banks
ADTH,NasdaqCM:ADTH,"AdTheorent Holding Company, Inc.",Advertising
ML,NYSE:ML,MoneyLion Inc.,Consumer Finance
UFI,NYSE:UFI,"Unifi, Inc.",Textiles
LTRP.A,NasdaqGS:LTRP.A,"Liberty TripAdvisor Holdings, Inc.",Interactive Media and Services
AIP,NasdaqGM:AIP,"Arteris, Inc.",Systems Software
CTSO,NasdaqCM:CTSO,Cytosorbents Corporation,Health Care Equipment
CONN,NasdaqGS:CONN,"Conn's, Inc.",Computer and Electronics Retail
MTRX,NasdaqGS:MTRX,Matrix Service Company,Construction and Engineering
PKOH,NasdaqGS:PKOH,Park-Ohio Holdings Corp.,Industrial Machinery and Supplies and Components
PRTK,NasdaqGM:PRTK,"Paratek Pharmaceuticals, Inc.",Pharmaceuticals
BDSX,NasdaqGM:BDSX,"Biodesix, Inc.",Health Care Services
AMSC,NasdaqGS:AMSC,American Superconductor Corporation,Electrical Components and Equipment
MPAA,NasdaqGS:MPAA,"Motorcar Parts of America, Inc.",Automotive Parts and Equipment
PLBY,NasdaqGM:PLBY,"PLBY Group, Inc.","Apparel, Accessories and Luxury Goods"
PBYI,NasdaqGS:PBYI,"Puma Biotechnology, Inc.",Biotechnology
HBB,NYSE:HBB,Hamilton Beach Brands Holding Company,Household Appliances
MHH,NYSEAM:MHH,"Mastech Digital, Inc.",Human Resource and Employment Services
GLT,NYSE:GLT,Glatfelter Corporation,Paper Products
GRPH,NasdaqGM:GRPH,"Graphite Bio, Inc.",Biotechnology
CSTE,NasdaqGS:CSTE,Caesarstone Ltd.,Building Products
BKKT,NYSE:BKKT,"Bakkt Holdings, Inc.",Financial Exchanges and Data
OLMA,NasdaqGS:OLMA,"Olema Pharmaceuticals, Inc.",Biotechnology
MRBK,NasdaqGS:MRBK,Meridian Corporation,Regional Banks
PTRS,NasdaqCM:PTRS,Partners Bancorp,Regional Banks
BHG,NYSE:BHG,"Bright Health Group, Inc.",Life and Health Insurance
INVE,NasdaqCM:INVE,"Identiv, Inc.",Electronic Equipment and Instruments
MRAM,NasdaqGM:MRAM,"Everspin Technologies, Inc.",Semiconductors
TSQ,NYSE:TSQ,"Townsquare Media, Inc.",Broadcasting
GHM,NYSE:GHM,Graham Corporation,Industrial Machinery and Supplies and Components
PRCH,NasdaqCM:PRCH,"Porch Group, Inc.",Application Software
SUP,NYSE:SUP,"Superior Industries International, Inc.",Automotive Parts and Equipment
UPLD,NasdaqGM:UPLD,"Upland Software, Inc.",Application Software
ISTR,NasdaqGM:ISTR,Investar Holding Corporation,Regional Banks
GTHX,NasdaqGS:GTHX,"G1 Therapeutics, Inc.",Biotechnology
SAL,NasdaqCM:SAL,"Salisbury Bancorp, Inc.",Regional Banks
CHMI,NYSE:CHMI,Cherry Hill Mortgage Investment Corporation,Mortgage REITs
TRHC,NasdaqGM:TRHC,"Tabula Rasa HealthCare, Inc.",Health Care Technology
ARC,NYSE:ARC,"ARC Document Solutions, Inc.",Office Services and Supplies
OPBK,NasdaqGM:OPBK,OP Bancorp,Regional Banks
PYXS,NasdaqGS:PYXS,"Pyxis Oncology, Inc.",Biotechnology
SGA,NasdaqGM:SGA,"Saga Communications, Inc.",Broadcasting
SNFC.A,NasdaqGM:SNFC.A,Security National Financial Corporation,Commercial and Residential Mortgage Finance
DOMA,NYSE:DOMA,Doma Holdings Inc.,Real Estate Services
ASYS,NasdaqGS:ASYS,"Amtech Systems, Inc.",Semiconductor Materials and Equipment
ANIX,NasdaqCM:ANIX,"Anixa Biosciences, Inc.",Biotechnology
NKTR,NasdaqGS:NKTR,Nektar Therapeutics,Pharmaceuticals
CAMP,NasdaqGS:CAMP,CalAmp Corp.,Communications Equipment
TWIN,NasdaqGS:TWIN,"Twin Disc, Incorporated",Construction Machinery and Heavy Transportation Equipment
BSBK,NasdaqCM:BSBK,Bogota Financial Corp.,Regional Banks
IVVD,NasdaqGM:IVVD,"Invivyd, Inc.",Biotechnology
PRPH,NasdaqCM:PRPH,"ProPhase Labs, Inc.",Pharmaceuticals
CMPO,NasdaqGM:CMPO,"CompoSecure, Inc.","Technology Hardware, Storage and Peripherals"
FRAF,NasdaqCM:FRAF,Franklin Financial Services Corporation,Regional Banks
OPAD,NYSE:OPAD,Offerpad Solutions Inc.,Real Estate Services
AOUT,NasdaqGS:AOUT,"American Outdoor Brands, Inc.",Leisure Products
SGC,NasdaqGM:SGC,"Superior Group of Companies, Inc.","Apparel, Accessories and Luxury Goods"
LAZY,NasdaqCM:LAZY,"Lazydays Holdings, Inc.",Automotive Retail
UEIC,NasdaqGS:UEIC,Universal Electronics Inc.,Consumer Electronics
EYEN,NasdaqCM:EYEN,"Eyenovia, Inc.",Pharmaceuticals
HNVR,NasdaqGS:HNVR,"Hanover Bancorp, Inc.",Regional Banks
GRPN,NasdaqGS:GRPN,"Groupon, Inc.",Broadline Retail
PSNL,NasdaqGM:PSNL,"Personalis, Inc.",Life Sciences Tools and Services
OPRT,NasdaqGS:OPRT,Oportun Financial Corporation,Consumer Finance
NGS,NYSE:NGS,"Natural Gas Services Group, Inc.",Oil and Gas Equipment and Services
ISSC,NasdaqGS:ISSC,"Innovative Solutions and Support, Inc.",Aerospace and Defense
BCAB,NasdaqGM:BCAB,"BioAtla, Inc.",Biotechnology
ECBK,NasdaqCM:ECBK,"ECB Bancorp, Inc.",Regional Banks
BTBT,NasdaqCM:BTBT,"Bit Digital, Inc.",Application Software
CFBK,NasdaqCM:CFBK,CF Bankshares Inc.,Regional Banks
BRID,NasdaqGM:BRID,Bridgford Foods Corporation,Packaged Foods and Meats
BBLN,NYSE:BBLN,Babylon Holdings Limited,Health Care Technology
LCUT,NasdaqGS:LCUT,"Lifetime Brands, Inc.",Housewares and Specialties
FSTR,NasdaqGS:FSTR,L.B. Foster Company,Industrial Machinery and Supplies and Components
ANVS,NYSE:ANVS,"Annovis Bio, Inc.",Biotechnology
FNWD,NasdaqCM:FNWD,Finward Bancorp,Regional Banks
PLSE,NasdaqCM:PLSE,"Pulse Biosciences, Inc.",Health Care Equipment
IKNA,NasdaqGM:IKNA,"Ikena Oncology, Inc.",Pharmaceuticals
REAL,NasdaqGS:REAL,"The RealReal, Inc.",Apparel Retail
GALT,NasdaqCM:GALT,Galectin Therapeutics Inc.,Biotechnology
STTK,NasdaqGS:STTK,"Shattuck Labs, Inc.",Biotechnology
VRM,NasdaqGS:VRM,"Vroom, Inc.",Automotive Retail
FORA,NasdaqCM:FORA,Forian Inc.,Health Care Technology
RAD,NYSE:RAD,Rite Aid Corporation,Drug Retail
MDWD,NasdaqGM:MDWD,MediWound Ltd.,Pharmaceuticals
EPSN,NasdaqGM:EPSN,Epsilon Energy Ltd.,Oil and Gas Exploration and Production
RMBI,NasdaqCM:RMBI,"Richmond Mutual Bancorporation, Inc.",Regional Banks
UIHC,NasdaqCM:UIHC,United Insurance Holdings Corp.,Property and Casualty Insurance
FNCB,NasdaqCM:FNCB,"FNCB Bancorp, Inc.",Regional Banks
ESPR,NasdaqGM:ESPR,"Esperion Therapeutics, Inc.",Pharmaceuticals
CASA,NasdaqGS:CASA,"Casa Systems, Inc.",Communications Equipment
PWFL,NasdaqGM:PWFL,"PowerFleet, Inc.",Electronic Equipment and Instruments
TAST,NasdaqGS:TAST,"Carrols Restaurant Group, Inc.",Restaurants
SPRU,NYSE:SPRU,Spruce Power Holding Corporation,Automotive Parts and Equipment
EML,NasdaqGM:EML,The Eastern Company,Industrial Machinery and Supplies and Components
QRHC,NasdaqCM:QRHC,Quest Resource Holding Corporation,Environmental and Facilities Services
BCLI,NasdaqCM:BCLI,Brainstorm Cell Therapeutics Inc.,Biotechnology
QMCO,NasdaqGM:QMCO,Quantum Corporation,"Technology Hardware, Storage and Peripherals"
MITT,NYSE:MITT,"AG Mortgage Investment Trust, Inc.",Mortgage REITs
CENN,NasdaqCM:CENN,Cenntro Electric Group Limited,Automobile Manufacturers
ENZ,NYSE:ENZ,"Enzo Biochem, Inc.",Health Care Services
CPHC,NasdaqGM:CPHC,Canterbury Park Holding Corporation,Casinos and Gaming
PLX,NYSEAM:PLX,"Protalix BioTherapeutics, Inc.",Biotechnology
VNRX,NYSEAM:VNRX,VolitionRx Limited,Health Care Supplies
ARAV,NasdaqGS:ARAV,"Aravive, Inc.",Biotechnology
GOSS,NasdaqGS:GOSS,"Gossamer Bio, Inc.",Biotechnology
KOPN,NasdaqCM:KOPN,Kopin Corporation,Semiconductors
OPOF,NasdaqCM:OPOF,Old Point Financial Corporation,Regional Banks
TTCF,NasdaqCM:TTCF,"Tattooed Chef, Inc.",Packaged Foods and Meats
SERA,NasdaqGM:SERA,"Sera Prognostics, Inc.",Biotechnology
PVBC,NasdaqCM:PVBC,"Provident Bancorp, Inc.",Regional Banks
NPCE,NasdaqGM:NPCE,"NeuroPace, Inc.",Health Care Equipment
FFNW,NasdaqGS:FFNW,"First Financial Northwest, Inc.",Regional Banks
LL,NYSE:LL,"LL Flooring Holdings, Inc.",Home Improvement Retail
INMB,NasdaqCM:INMB,"INmune Bio, Inc.",Biotechnology
VERY,NasdaqCM:VERY,"Vericity, Inc.",Life and Health Insurance
PCYG,NasdaqCM:PCYG,"Park City Group, Inc.",Application Software
FAT,NasdaqCM:FAT,FAT Brands Inc.,Restaurants
FATB.B,NasdaqCM:FATB.B,FAT Brands Inc.,Restaurants
MLVF,NasdaqGM:MLVF,"Malvern Bancorp, Inc.",Regional Banks
ASTR,NasdaqGS:ASTR,"Astra Space, Inc.",Aerospace and Defense
BGSF,NYSE:BGSF,"BGSF, Inc.",Human Resource and Employment Services
CDXC,NasdaqCM:CDXC,ChromaDex Corporation,Life Sciences Tools and Services
RVSB,NasdaqGS:RVSB,"Riverview Bancorp, Inc.",Regional Banks
LFCR,NasdaqGS:LFCR,"Lifecore Biomedical, Inc.",Packaged Foods and Meats
CTG,NasdaqGS:CTG,"Computer Task Group, Incorporated",IT Consulting and Other Services
CDLX,NasdaqGM:CDLX,"Cardlytics, Inc.",Advertising
ARMP,NYSEAM:ARMP,"Armata Pharmaceuticals, Inc.",Biotechnology
SCOR,NasdaqGS:SCOR,"comScore, Inc.",Advertising
RVLP,NasdaqGS:RVLP,RVL Pharmaceuticals plc,Pharmaceuticals
FINW,NasdaqGM:FINW,FinWise Bancorp,Regional Banks
FXLV,NYSE:FXLV,F45 Training Holdings Inc.,Leisure Facilities
NTIC,NasdaqGM:NTIC,Northern Technologies International Corporation,Specialty Chemicals
ALTO,NasdaqCM:ALTO,"Alto Ingredients, Inc.",Oil and Gas Refining and Marketing
TALK,NasdaqGS:TALK,"Talkspace, Inc.",Health Care Services
FUNC,NasdaqGS:FUNC,First United Corporation,Regional Banks
DMTK,NasdaqCM:DMTK,"DermTech, Inc.",Biotechnology
OVBC,NasdaqGM:OVBC,Ohio Valley Banc Corp.,Regional Banks
LIFE,NasdaqCM:LIFE,"aTyr Pharma, Inc.",Biotechnology
AFMD,NasdaqGM:AFMD,Affimed N.V.,Biotechnology
CBFV,NasdaqGM:CBFV,"CB Financial Services, Inc.",Regional Banks
CMRX,NasdaqGM:CMRX,"Chimerix, Inc.",Biotechnology
CZWI,NasdaqGM:CZWI,"Citizens Community Bancorp, Inc.",Regional Banks
TUP,NYSE:TUP,Tupperware Brands Corporation,Housewares and Specialties
TRVI,NasdaqGM:TRVI,"Trevi Therapeutics, Inc.",Pharmaceuticals
BFIN,NasdaqGS:BFIN,BankFinancial Corporation,Regional Banks
NOTV,NasdaqCM:NOTV,"Inotiv, Inc.",Life Sciences Tools and Services
CWBC,NasdaqGM:CWBC,Community West Bancshares,Regional Banks
VIEW,NasdaqGM:VIEW,"View, Inc.",Building Products
LTCH,NasdaqGS:LTCH,"Latch, Inc.",Application Software
AHT,NYSE:AHT,"Ashford Hospitality Trust, Inc.",Hotel and Resort REITs
FSFG,NasdaqCM:FSFG,"First Savings Financial Group, Inc.",Regional Banks
EBMT,NasdaqGM:EBMT,"Eagle Bancorp Montana, Inc.",Regional Banks
GRTX,NasdaqGM:GRTX,"Galera Therapeutics, Inc.",Biotechnology
UBFO,NasdaqGS:UBFO,United Security Bancshares,Regional Banks
GNSS,NasdaqCM:GNSS,Genasys Inc.,Communications Equipment
BATL,NYSEAM:BATL,Battalion Oil Corporation,Oil and Gas Exploration and Production
FONR,NasdaqCM:FONR,FONAR Corporation,Health Care Equipment
FREE,NasdaqCM:FREE,"Whole Earth Brands, Inc.",Packaged Foods and Meats
LARK,NasdaqGM:LARK,"Landmark Bancorp, Inc.",Regional Banks
LAKE,NasdaqGM:LAKE,"Lakeland Industries, Inc.","Apparel, Accessories and Luxury Goods"
CAPR,NasdaqCM:CAPR,"Capricor Therapeutics, Inc.",Biotechnology
DRIO,NasdaqCM:DRIO,DarioHealth Corp.,Health Care Equipment
MNOV,NasdaqGM:MNOV,"MediciNova, Inc.",Biotechnology
XFOR,NasdaqCM:XFOR,"X4 Pharmaceuticals, Inc.",Biotechnology
LFT,NYSE:LFT,"Lument Finance Trust, Inc.",Mortgage REITs
HGBL,NasdaqCM:HGBL,Heritage Global Inc.,Asset Management and Custody Banks
YELL,NasdaqGS:YELL,Yellow Corporation,Cargo Ground Transportation
XBIT,NasdaqGS:XBIT,XBiotech Inc.,Biotechnology
MNTX,NasdaqCM:MNTX,"Manitex International, Inc.",Construction Machinery and Heavy Transportation Equipment
RCMT,NasdaqGM:RCMT,"RCM Technologies, Inc.",Research and Consulting Services
FBIO,NasdaqCM:FBIO,"Fortress Biotech, Inc.",Biotechnology
OFED,NasdaqCM:OFED,Oconee Federal Financial Corp.,Regional Banks
AREC,NasdaqCM:AREC,American Resources Corporation,Coal and Consumable Fuels
APEI,NasdaqGS:APEI,"American Public Education, Inc.",Education Services
ALOT,NasdaqGM:ALOT,"AstroNova, Inc.","Technology Hardware, Storage and Peripherals"
PBHC,NasdaqCM:PBHC,"Pathfinder Bancorp, Inc.",Regional Banks
RDI,NasdaqCM:RDI,"Reading International, Inc.",Movies and Entertainment
VXRT,NasdaqCM:VXRT,"Vaxart, Inc.",Biotechnology
HYPR,NasdaqGM:HYPR,"Hyperfine, Inc.",Health Care Equipment
FNWB,NasdaqGM:FNWB,First Northwest Bancorp,Regional Banks
DIT,NYSEAM:DIT,AMCON Distributing Company,Distributors
KULR,NYSEAM:KULR,"KULR Technology Group, Inc.",Electrical Components and Equipment
CVM,NYSEAM:CVM,CEL-SCI Corporation,Biotechnology
SONX,NYSE:SONX,"Sonendo, Inc.",Health Care Equipment
SCTL,NasdaqCM:SCTL,"Societal CDMO, Inc.",Pharmaceuticals
EYPT,NasdaqGM:EYPT,"EyePoint Pharmaceuticals, Inc.",Pharmaceuticals
INTG,NasdaqCM:INTG,The InterGroup Corporation,Real Estate Operating Companies
EARN,NYSE:EARN,Ellington Residential Mortgage REIT,Mortgage REITs
STRM,NasdaqCM:STRM,"Streamline Health Solutions, Inc.",Health Care Technology
CTMX,NasdaqGS:CTMX,"CytomX Therapeutics, Inc.",Biotechnology
UNB,NasdaqGM:UNB,"Union Bankshares, Inc.",Regional Banks
FLXS,NasdaqGS:FLXS,"Flexsteel Industries, Inc.",Home Furnishings
APYX,NasdaqGS:APYX,Apyx Medical Corporation,Health Care Equipment
FXNC,NasdaqCM:FXNC,First National Corporation,Regional Banks
SBFG,NasdaqCM:SBFG,"SB Financial Group, Inc.",Regional Banks
RMBL,NasdaqCM:RMBL,"RumbleON, Inc.",Automotive Retail
ETON,NasdaqGM:ETON,"Eton Pharmaceuticals, Inc.",Pharmaceuticals
SCYX,NasdaqGM:SCYX,"SCYNEXIS, Inc.",Pharmaceuticals
LIVE,NasdaqCM:LIVE,Live Ventures Incorporated,Home Furnishings
PFSW,NasdaqCM:PFSW,"PFSweb, Inc.",IT Consulting and Other Services
EAR,NasdaqGS:EAR,"Eargo, Inc.",Health Care Equipment
JNCE,NasdaqGS:JNCE,"Jounce Therapeutics, Inc.",Biotechnology
PROV,NasdaqGS:PROV,"Provident Financial Holdings, Inc.",Regional Banks
SMID,NasdaqCM:SMID,Smith-Midland Corporation,Construction Materials
MESA,NasdaqGS:MESA,"Mesa Air Group, Inc.",Passenger Airlines
SPIR,NYSE:SPIR,"Spire Global, Inc.",Research and Consulting Services
AE,NYSEAM:AE,"Adams Resources & Energy, Inc.",Oil and Gas Refining and Marketing
GMGI,NasdaqCM:GMGI,"Golden Matrix Group, Inc.",Interactive Home Entertainment
SFBC,NasdaqCM:SFBC,"Sound Financial Bancorp, Inc.",Regional Banks
PHX,NYSE:PHX,PHX Minerals Inc.,Oil and Gas Exploration and Production
DBD,NYSE:DBD,"Diebold Nixdorf, Incorporated","Technology Hardware, Storage and Peripherals"
CELU,NasdaqCM:CELU,Celularity Inc.,Biotechnology
ASPS,NasdaqGS:ASPS,Altisource Portfolio Solutions S.A.,Real Estate Services
ATHA,NasdaqGS:ATHA,"Athira Pharma, Inc.",Pharmaceuticals
APPH,NasdaqGS:APPH,"AppHarvest, Inc.",Agricultural Products and Services
TZOO,NasdaqGS:TZOO,Travelzoo,Interactive Media and Services
AFBI,NasdaqCM:AFBI,"Affinity Bancshares, Inc.",Regional Banks
VERU,NasdaqCM:VERU,Veru Inc.,Personal Care Products
VHC,NYSE:VHC,VirnetX Holding Corp,Application Software
LVLU,NasdaqGM:LVLU,"Lulu's Fashion Lounge Holdings, Inc.",Apparel Retail
ACNT,NasdaqGM:ACNT,Ascent Industries Co.,Steel
RGTI,NasdaqCM:RGTI,"Rigetti Computing, Inc.",Semiconductors
KORE,NYSE:KORE,"KORE Group Holdings, Inc.",Wireless Telecommunication Services
SSBI,NasdaqGM:SSBI,Summit State Bank,Regional Banks
GORO,NYSEAM:GORO,Gold Resource Corporation,Gold
GEOS,NasdaqGS:GEOS,Geospace Technologies Corporation,Oil and Gas Equipment and Services
CMCT,NasdaqGM:CMCT,Creative Media & Community Trust Corporation,Office REITs
PED,NYSEAM:PED,PEDEVCO Corp.,Oil and Gas Exploration and Production
CLPR,NYSE:CLPR,Clipper Realty Inc.,Multi-Family Residential REITs
AREN,NYSEAM:AREN,"The Arena Group Holdings, Inc.",Interactive Media and Services
LBPH,NasdaqGM:LBPH,"Longboard Pharmaceuticals, Inc.",Pharmaceuticals
TBIO,NasdaqGS:TBIO,"Telesis Bio, Inc.",Life Sciences Tools and Services
ATOS,NasdaqCM:ATOS,"Atossa Therapeutics, Inc.",Biotechnology
HOWL,NasdaqGS:HOWL,"Werewolf Therapeutics, Inc.",Biotechnology
STRT,NasdaqGM:STRT,Strattec Security Corporation,Automotive Parts and Equipment
WHG,NYSE:WHG,"Westwood Holdings Group, Inc.",Asset Management and Custody Banks
CVV,NasdaqCM:CVV,CVD Equipment Corporation,Semiconductor Materials and Equipment
BRDS,NYSE:BRDS,"Bird Global, Inc.",Passenger Ground Transportation
DARE,NasdaqCM:DARE,"Daré Bioscience, Inc.",Pharmaceuticals
MAYS,NasdaqCM:MAYS,"J.W. Mays, Inc.",Real Estate Operating Companies
XOS,NasdaqGM:XOS,"Xos, Inc.",Construction Machinery and Heavy Transportation Equipment
LWAY,NasdaqGM:LWAY,"Lifeway Foods, Inc.",Packaged Foods and Meats
ELMD,NYSEAM:ELMD,"Electromed, Inc.",Health Care Equipment
BKSC,NasdaqCM:BKSC,Bank of South Carolina Corporation,Regional Banks
SPRB,NasdaqGS:SPRB,"Spruce Biosciences, Inc.",Biotechnology
CLNN,NasdaqCM:CLNN,Clene Inc.,Biotechnology
OMIC,NasdaqGS:OMIC,"Singular Genomics Systems, Inc.",Life Sciences Tools and Services
FRBK,NasdaqGM:FRBK,"Republic First Bancorp, Inc.",Regional Banks
XLO,NasdaqGS:XLO,"Xilio Therapeutics, Inc.",Biotechnology
ORMP,NasdaqCM:ORMP,Oramed Pharmaceuticals Inc.,Pharmaceuticals
HYMC,NasdaqCM:HYMC,Hycroft Mining Holding Corporation,Gold
FCAP,NasdaqCM:FCAP,"First Capital, Inc.",Regional Banks
UBCP,NasdaqCM:UBCP,"United Bancorp, Inc.",Regional Banks
TIL,NasdaqGS:TIL,"Instil Bio, Inc.",Biotechnology
PPIH,NasdaqGM:PPIH,"Perma-Pipe International Holdings, Inc.",Industrial Machinery and Supplies and Components
VNCE,NYSE:VNCE,Vince Holding Corp.,"Apparel, Accessories and Luxury Goods"
SRTS,NasdaqCM:SRTS,"Sensus Healthcare, Inc.",Health Care Equipment
AMTX,NasdaqGM:AMTX,"Aemetis, Inc.",Oil and Gas Refining and Marketing
USAP,NasdaqGS:USAP,"Universal Stainless & Alloy Products, Inc.",Steel
DTIL,NasdaqGS:DTIL,"Precision BioSciences, Inc.",Biotechnology
KRON,NasdaqGS:KRON,"Kronos Bio, Inc.",Biotechnology
HMNF,NasdaqGM:HMNF,"HMN Financial, Inc.",Regional Banks
SCX,NYSE:SCX,The L.S. Starrett Company,Industrial Machinery and Supplies and Components
RBKB,NasdaqCM:RBKB,"Rhinebeck Bancorp, Inc.",Regional Banks
