STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
ALNY,NasdaqGS:ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology
FANG,NasdaqGS:FANG,"Diamondback Energy, Inc.",Oil and Gas Exploration and Production
WTW,NasdaqGS:WTW,Willis Towers Watson Public Limited Company,Insurance Brokers
FTV,NYSE:FTV,Fortive Corporation,Industrial Machinery and Supplies and Components
PWR,NYSE:PWR,"Quanta Services, Inc.",Construction and Engineering
EBAY,NasdaqGS:EBAY,eBay Inc.,Broadline Retail
MPWR,NasdaqGS:MPWR,"Monolithic Power Systems, Inc.",Semiconductors
IR,NYSE:IR,Ingersoll Rand Inc.,Industrial Machinery and Supplies and Components
GPC,NYSE:GPC,Genuine Parts Company,Distributors
AVB,NYSE:AVB,"AvalonBay Communities, Inc.",Multi-Family Residential REITs
IFF,NYSE:IFF,International Flavors & Fragrances Inc.,Specialty Chemicals
DDOG,NasdaqGS:DDOG,"Datadog, Inc.",Application Software
FSLR,NasdaqGS:FSLR,"First Solar, Inc.",Semiconductors
FE,NYSE:FE,FirstEnergy Corp.,Electric Utilities
K,NYSE:K,Kellogg Company,Packaged Foods and Meats
ETR,NYSE:ETR,Entergy Corporation,Electric Utilities
VMC,NYSE:VMC,Vulcan Materials Company,Construction Materials
EQR,NYSE:EQR,Equity Residential,Multi-Family Residential REITs
AEE,NYSE:AEE,Ameren Corporation,Multi-Utilities
DTE,NYSE:DTE,DTE Energy Company,Multi-Utilities
MKC,NYSE:MKC,"McCormick & Company, Incorporated",Packaged Foods and Meats
DAL,NYSE:DAL,"Delta Air Lines, Inc.",Passenger Airlines
PODD,NasdaqGS:PODD,Insulet Corporation,Health Care Equipment
VRSN,NasdaqGS:VRSN,"VeriSign, Inc.",Internet Services and Infrastructure
WY,NYSE:WY,Weyerhaeuser Company,Timber REITs
MLM,NYSE:MLM,"Martin Marietta Materials, Inc.",Construction Materials
CBRE,NYSE:CBRE,"CBRE Group, Inc.",Real Estate Services
EXR,NYSE:EXR,Extra Space Storage Inc.,Self-Storage REITs
HIG,NYSE:HIG,"The Hartford Financial Services Group, Inc.",Multi-line Insurance
HRL,NYSE:HRL,Hormel Foods Corporation,Packaged Foods and Meats
ARE,NYSE:ARE,"Alexandria Real Estate Equities, Inc.",Office REITs
ZM,NasdaqGS:ZM,"Zoom Video Communications, Inc.",Application Software
CHD,NYSE:CHD,"Church & Dwight Co., Inc.",Household Products
DOV,NYSE:DOV,Dover Corporation,Industrial Machinery and Supplies and Components
HUBS,NYSE:HUBS,"HubSpot, Inc.",Application Software
